               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,             0.01146,           0.0044906,                   0,             0.99981,                   1,               0.995,             0.98591,           0.0043119,           0.0022001,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.011991,           0.0043861,                   0,             0.99981,                   1,               0.995,             0.97237,           0.0046873,           0.0022295,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.01191,           0.0042459,                   0,             0.99981,                   1,               0.995,             0.88801,           0.0068895,           0.0026528,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.011048,           0.0044532,                   0,              0.9998,                   1,               0.995,             0.94811,           0.0047748,           0.0022383,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.011266,           0.0042954,                   0,              0.9998,                   1,               0.995,             0.96054,           0.0058395,           0.0023503,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.011497,           0.0043349,                   0,             0.99981,                   1,               0.995,             0.96339,           0.0047863,           0.0023697,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.011262,           0.0045815,                   0,              0.9998,                   1,               0.995,             0.91185,           0.0059303,           0.0024725,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.010475,           0.0041381,                   0,             0.99981,                   1,               0.995,             0.94499,           0.0047256,           0.0022932,                   0,              0.0067,              0.0067,              0.0067
                 102,           0.0099351,           0.0042252,                   0,             0.99981,                   1,               0.995,             0.95189,           0.0043748,           0.0022856,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.010481,           0.0042335,                   0,             0.99981,                   1,               0.995,             0.97065,           0.0054282,           0.0022559,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.011816,           0.0042902,                   0,             0.99981,                   1,               0.995,             0.87947,           0.0079203,           0.0025485,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.011058,           0.0043944,                   0,             0.99981,                   1,               0.995,             0.93708,           0.0061702,           0.0023695,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.010076,           0.0041862,                   0,             0.99981,                   1,               0.995,             0.99372,           0.0037046,           0.0022029,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.010823,           0.0041957,                   0,             0.99981,                   1,               0.995,             0.97024,            0.004172,           0.0021053,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.010949,           0.0042426,                   0,              0.9998,                   1,               0.995,             0.98115,           0.0041583,           0.0022504,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.011914,           0.0043958,                   0,              0.9998,                   1,               0.995,             0.94639,           0.0061175,           0.0023134,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.010834,           0.0041457,                   0,              0.9998,                   1,               0.995,             0.94765,           0.0057003,           0.0022843,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.010842,           0.0042595,                   0,              0.9998,                   1,               0.995,             0.98907,           0.0045365,           0.0023048,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.010249,           0.0040357,                   0,             0.99981,                   1,               0.995,                0.99,           0.0056587,           0.0023073,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.010046,           0.0041539,                   0,             0.99981,                   1,               0.995,             0.96795,           0.0049238,           0.0022188,                   0,            0.006304,            0.006304,            0.006304
                 114,           0.0091636,           0.0039007,                   0,             0.99981,                   1,               0.995,             0.98691,           0.0052362,           0.0021988,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.010318,           0.0039699,                   0,             0.99981,                   1,               0.995,              0.9802,           0.0039474,           0.0020017,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.010172,            0.004092,                   0,             0.99981,                   1,               0.995,             0.99347,           0.0041866,           0.0020155,                   0,            0.006205,            0.006205,            0.006205
                 117,           0.0092601,           0.0043665,                   0,             0.99981,                   1,               0.995,             0.98927,           0.0044717,           0.0021507,                   0,            0.006172,            0.006172,            0.006172
                 118,           0.0094331,           0.0041481,                   0,             0.99981,                   1,               0.995,             0.99295,           0.0041966,           0.0021586,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.010066,           0.0040672,                   0,             0.99981,                   1,               0.995,             0.96993,           0.0052224,           0.0021993,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.010129,           0.0043418,                   0,             0.99981,                   1,               0.995,              0.9615,            0.005507,           0.0024085,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.010436,            0.004096,                   0,             0.99981,                   1,               0.995,             0.97078,           0.0046413,           0.0021799,                   0,             0.00604,             0.00604,             0.00604
                 122,           0.0093301,           0.0042381,                   0,             0.99981,                   1,               0.995,             0.99167,           0.0035643,           0.0019601,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.009268,            0.003769,                   0,             0.99981,                   1,               0.995,             0.95563,           0.0040884,           0.0020786,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.010365,           0.0040208,                   0,             0.99981,                   1,               0.995,             0.97033,           0.0036247,           0.0020466,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.01023,           0.0040826,                   0,             0.99981,                   1,               0.995,             0.93689,           0.0047363,           0.0021845,                   0,            0.005908,            0.005908,            0.005908
                 126,           0.0088734,           0.0039515,                   0,             0.99981,                   1,               0.995,             0.97221,           0.0053577,           0.0020885,                   0,            0.005875,            0.005875,            0.005875
                 127,           0.0096561,           0.0039218,                   0,             0.99981,                   1,               0.995,             0.99345,           0.0029965,            0.001887,                   0,            0.005842,            0.005842,            0.005842
                 128,           0.0094882,           0.0040167,                   0,             0.99982,                   1,               0.995,             0.95412,           0.0042575,           0.0020979,                   0,            0.005809,            0.005809,            0.005809
                 129,           0.0096949,           0.0037848,                   0,             0.99981,                   1,               0.995,             0.96799,           0.0046725,           0.0020224,                   0,            0.005776,            0.005776,            0.005776
                 130,           0.0087436,           0.0037772,                   0,             0.99982,                   1,               0.995,               0.995,           0.0046133,           0.0021033,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.010437,           0.0041424,                   0,             0.99982,                   1,               0.995,             0.98994,           0.0030865,           0.0019816,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.008551,           0.0038451,                   0,             0.99981,                   1,               0.995,              0.9937,           0.0045025,           0.0020627,                   0,            0.005677,            0.005677,            0.005677
                 133,           0.0091613,            0.003791,                   0,             0.99981,                   1,               0.995,             0.96561,           0.0041286,            0.002003,                   0,            0.005644,            0.005644,            0.005644
                 134,           0.0090046,           0.0038934,                   0,             0.99981,                   1,               0.995,               0.995,           0.0028879,           0.0018579,                   0,            0.005611,            0.005611,            0.005611
                 135,           0.0094567,           0.0040077,                   0,             0.99981,                   1,               0.995,             0.98593,           0.0036451,            0.002012,                   0,            0.005578,            0.005578,            0.005578
                 136,           0.0091905,           0.0040349,                   0,             0.99981,                   1,               0.995,             0.98035,           0.0045569,           0.0020676,                   0,            0.005545,            0.005545,            0.005545
                 137,           0.0090204,           0.0041277,                   0,             0.99981,                   1,               0.995,             0.97658,           0.0045627,           0.0020985,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.008546,           0.0039171,                   0,             0.99982,                   1,               0.995,             0.99244,           0.0030792,           0.0019545,                   0,            0.005479,            0.005479,            0.005479
                 139,           0.0086496,           0.0038443,                   0,             0.99981,                   1,               0.995,               0.995,            0.002896,           0.0018063,                   0,            0.005446,            0.005446,            0.005446
                 140,           0.0087164,           0.0040153,                   0,             0.99981,                   1,               0.995,             0.99491,           0.0029776,           0.0018215,                   0,            0.005413,            0.005413,            0.005413
                 141,           0.0080948,           0.0036436,                   0,             0.99982,                   1,               0.995,             0.98873,           0.0039683,           0.0018688,                   0,             0.00538,             0.00538,             0.00538
                 142,           0.0088132,           0.0036208,                   0,             0.99981,                   1,               0.995,             0.98851,           0.0054389,           0.0019637,                   0,            0.005347,            0.005347,            0.005347
                 143,           0.0094399,           0.0037215,                   0,             0.99981,                   1,               0.995,             0.98934,           0.0028293,           0.0017456,                   0,            0.005314,            0.005314,            0.005314
                 144,           0.0088296,           0.0037688,                   0,             0.99981,                   1,               0.995,             0.98633,           0.0040548,           0.0019681,                   0,            0.005281,            0.005281,            0.005281
